1	Wrapped Astar (0xaeaaf0–f0f720)	242,882,683.359367012116823058 ASTR	3.1877% Market Cap	0 Transactions sent
2	WASTR (0x19574c–73d2c9)	59,221,955.409997883457373866 ASTR	0.7773% Market Cap	0 Transactions sent
3	0xfBaBd65eDF20643288550448128EfeacCb80F884	56,597,735.394246834715468544 ASTR	0.7428% Market Cap	63 Transactions sent
4	0xC882b111A75C0c657fC507C04FbFcD2cC984F071	52,331,837.140473042437750747 ASTR	0.6868% Market Cap	4 Transactions sent
5	0x258ec18288f65f2f740F4c0EE0b88D71777A053C	39,608,410.444810280582655386 ASTR	0.5198% Market Cap	0 Transactions sent
6	0x4eEa3427ad5c17943847b348FEd16D462f88caF9	19,059,790.635899999999 ASTR	0.2501% Market Cap	0 Transactions sent
7	0x327d5322242B5558bebA1dfb9C02A9Da63551D67	13,390,507.160546498162920095 ASTR	0.1757% Market Cap	0 Transactions sent
8	0xEC28bAf4d8550A3992D31b07822668f8cc3E09dA	11,456,147.182456449860982464 ASTR	0.1504% Market Cap	51 Transactions sent
9	0x8De85bFAE393A71F063693926337b0A1756391E4	7,072,888.417393999999 ASTR	0.0928% Market Cap	0 Transactions sent
10	0x47Ce50339162B2374dfb1DFf0d7915804A2Be665	6,301,624.536326115373324083 ASTR	0.0827% Market Cap	16 Transactions sent
11	0x7e0324b39Aa585f13d3CCc2Ed1375592ABDABE9f	5,610,358.391034447954604963 ASTR	0.0736% Market Cap	92 Transactions sent
12	0x70d264472327B67898c919809A9dc4759B6c0f27	4,885,508.871261110328520474 ASTR	0.0641% Market Cap	0 Transactions sent
13	0x32d173C7447e447C5CdFFe37018eECdC1C1f434C	3,715,590.23392078152648163 ASTR	0.0488% Market Cap	150 Transactions sent
14	0x1f0116B674f34c6B58EBF5020c246007dfb9B0B7	3,451,931.359636531497544356 ASTR	0.0453% Market Cap	27 Transactions sent
15	0x59698F7CCC5F6E18Ad8C4Be071F91b4BeeCF4E4f	3,272,444.382302459469703852 ASTR	0.0429% Market Cap	140 Transactions sent
16	0xb06cf21bb0a6D0dE5304827b8176e884f635B7c0	3,173,435.895299999999 ASTR	0.0416% Market Cap	0 Transactions sent
17	0x1EC3282a117a3d25099c4d9b5eF05d445a8Ce025	3,037,104.769 ASTR	0.0399% Market Cap	0 Transactions sent
18	0x3EaD3926823dd2dEfc6E93aBaD0dEFb859AA474A	2,339,300.273440194037342777 ASTR	0.0307% Market Cap	3890 Transactions sent
19	0x867FcB4CCd67F18Cc292a08bDB0E58fae8ADAC47	2,000,000 ASTR	0.0262% Market Cap	0 Transactions sent
20	0xCe2CC46682E9C6D5f174aF598fb4931a9c0bE68e	1,710,703.112224263387 ASTR	0.0225% Market Cap	4 Transactions sent
21	0x744f8daC8149aD2E0653a5A8259073674829FB05	1,459,515.239175377325642117 ASTR	0.0192% Market Cap	614 Transactions sent
22	0x7D26B84ee97E350589DBb075e898E784053C71EC	1,409,929.372847805158300884 ASTR	0.0185% Market Cap	11747 Transactions sent
23	0x0D0707963952f2fBA59dD06f2b425ace40b492Fe	1,219,499.997274375543586178 ASTR	0.0160% Market Cap	6754 Transactions sent
24	0xe47Ea93C8e2A39253c83792AC7E398C0FBB98e3d	1,044,776.497671862487263 ASTR	0.0137% Market Cap	1 Transactions sent
25	0x689044437F6213f89980F57bAB98aecfD991e764	1,011,572.184702504879890092 ASTR	0.0133% Market Cap	102 Transactions sent
26	0x331B0bf7A933f0509F8c006b9Db472c80985Caf6	898,955.999999999999 ASTR	0.0118% Market Cap	0 Transactions sent
27	0x527ed0e44C244b57E8C2013fe51f2a692650Ad1e	870,492 ASTR	0.0114% Market Cap	0 Transactions sent
28	0x864B78Eb0b08b7e52D866990a58b5cb1c658d22B	831,810.28 ASTR	0.0109% Market Cap	0 Transactions sent
29	0xbfaB1DA9dC3f6f4f3eC9dcd99EcE75726567bba8	773,547.13885034104561896 ASTR	0.0102% Market Cap	78 Transactions sent
30	0xce29e071184328Ae41BCda0DB37dBb1489Dc9580	721,500 ASTR	0.0095% Market Cap	0 Transactions sent
31	Astar Bored Apes (0xc5f0b5–61ea85)	680,399.999999999999 ASTR	0.0089% Market Cap	0 Transactions sent
32	0x2cF0460F6de213B3f48eA6479bE6262021647bF4	657,983.081186427995839922 ASTR	0.0086% Market Cap	9 Transactions sent
33	0xe21A5269DB0E601898331E1e3BF34f8a7641aaCA	648,630.048166999998 ASTR	0.0085% Market Cap	0 Transactions sent
34	0xe04c142cE4c537D418CEB522cEc71649c6907F2e	648,500 ASTR	0.0085% Market Cap	0 Transactions sent
35	0xb9Fa876449460d9433C9f78e0a2EA576D2677fC6	647,122.979424430245394504 ASTR	0.0085% Market Cap	112 Transactions sent
36	0x96B208480d318558de935533c0083573aDc26Ea1	556,635 ASTR	0.0073% Market Cap	0 Transactions sent
37	0x624495797DAc33feC01Ea29eB89CF2747D677A8d	556,501 ASTR	0.0073% Market Cap	0 Transactions sent
38	0x06C2bEC0426f345cED73bc86d140DA538a610DA7	547,050 ASTR	0.0072% Market Cap	0 Transactions sent
39	0xbc2EFc50c763737825fD374858c1bBE45A979A68	544,600 ASTR	0.0071% Market Cap	0 Transactions sent
